Ano;CodOrgao;SiglaPPG;NomePPG;NivelCursoPG;NrMatriculados;NrTitulados
2023;7586;PPGFARTP;Programa de Pós-Graduação em Ciências Biológicas: Farmacologia e Terapêutica;Mestrado Acadêmico;37;10
2014;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Acadêmico;131;35
2011;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Acadêmico;153;35
2019;480;PPGSOC;Programa de Pós-Graduação em Sociologia;Doutorado;104;14
2020;1216;PPGEQ;Programa de Pós-Graduação em Engenharia Química;Mestrado Acadêmico;129;14
2020;10402;PPGANS;Programa de Pós-Graduação em Alimentação, Nutrição e Saúde;Mestrado Acadêmico;35;16
2022;585;PPGQUI;Programa de Pós-Graduação em Química;Doutorado;113;15
2020;1313;PPGENF;Programa de Pós-Graduação em Enfermagem;Doutorado;72;9
2010;2685;PPGCMED;Programa de Pós-Graduação em Ciências Médicas;Doutorado;119;16
2021;7586;PPGFARTP;Programa de Pós-Graduação em Ciências Biológicas: Farmacologia e Terapêutica;Doutorado;25;4
2010;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Mestrado Acadêmico;40;3
2011;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Mestrado Acadêmico;88;25
2012;444;PPGECO;Programa de Pós-Graduação em Economia;Doutorado;92;18
2022;443;PPGA;Programa de Pós-Graduação em Administração;Doutorado;146;32
2020;600;PPGBIOQ;Programa de Pós-Graduação em Ciências Biológicas: Bioquímica;Mestrado Acadêmico;63;13
2020;427;PPGDIR;Programa de Pós-Graduação em Direito;Doutorado;88;18
2023;1374;PPGFITO;Programa de Pós-Graduação em Fitotecnia;Doutorado;49;10
2015;1493;PPGEPIDE;Programa de Pós-Graduação em Epidemiologia;Mestrado Acadêmico;31;9
2023;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Acadêmico;78;21
2015;478;PPGHIS;Programa de Pós-Graduação em História;Doutorado;93;13
2019;585;PPGQUI;Programa de Pós-Graduação em Química;Mestrado Acadêmico;70;19
2015;393;PROMEC;Programa de Pós-Graduação em Engenharia Mecânica;Doutorado;81;10
2022;475;PPGANT;Programa de Pós-Graduação em Antropologia Social;Mestrado Acadêmico;52;13
2015;4212;PPGMAE;Programa de Pós-Graduação em Medicina Animal: Equinos;Mestrado Acadêmico;39;3
2015;443;PPGA;Programa de Pós-Graduação em Administração;Mestrado Profissional;44;6
2018;684;PPGLET;Programa de Pós-Graduação em Letras;Doutorado;236;32
2023;1493;PPGEPIDE;Programa de Pós-Graduação em Epidemiologia;Mestrado Acadêmico;33;7
2022;416;PPGSCA;Programa de Pós-Graduação em Saúde da Criança e do Adolescente;Mestrado Acadêmico;72;20
2019;2716;PGMICRO;Programa de Pós-Graduação em Microeletrônica;Doutorado;35;7
2018;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Doutorado;26;7
2017;2612;PPGENFIS;Programa de Pós-Graduação em Ensino de Física;Doutorado;18;4
2023;1132;PPGMAPLI;Programa de Pós-Graduação em Matemática Aplicada;Mestrado Acadêmico;29;7
2014;644;PPGMATPU;Programa de Pós-Graduação em Matemática Pura;Mestrado Acadêmico;28;7
